OPR_DT,Hour,Trading Hub,Renewable Type,Generation,Market
2017-10-16,19,SP15,Solar,45.5,DAM
2017-10-16,20,SP15,Solar,0.0,DAM
2017-10-16,21,SP15,Solar,0.0,DAM
2017-10-16,22,SP15,Solar,0.0,DAM
2017-10-16,23,SP15,Solar,0.0,DAM
2017-10-16,24,SP15,Solar,0.0,DAM
2017-10-17,1,SP15,Solar,0.0,DAM
2017-10-17,2,SP15,Solar,0.0,DAM
2017-10-17,3,SP15,Solar,0.0,DAM
2017-10-17,4,SP15,Solar,0.0,DAM
2017-10-17,5,SP15,Solar,0.0,DAM
2017-10-17,6,SP15,Solar,0.0,DAM
2017-10-17,7,SP15,Solar,4.15,DAM
2017-10-17,8,SP15,Solar,811.1,DAM
2017-10-17,9,SP15,Solar,3421.77,DAM
2017-10-17,10,SP15,Solar,5071.26,DAM
2017-10-17,11,SP15,Solar,5648.82,DAM
2017-10-17,12,SP15,Solar,5797.17,DAM
2017-10-17,13,SP15,Solar,5738.89,DAM
2017-10-17,14,SP15,Solar,5696.2,DAM
2017-10-17,15,SP15,Solar,5388.36,DAM
2017-10-17,16,SP15,Solar,4858.86,DAM
2017-10-17,17,SP15,Solar,3725.71,DAM
2017-10-17,18,SP15,Solar,981.64,DAM
2017-10-17,19,SP15,Solar,36.18,DAM
2017-10-17,20,SP15,Solar,0.0,DAM
2017-10-17,21,SP15,Solar,0.0,DAM
2017-10-17,22,SP15,Solar,0.0,DAM
2017-10-17,23,SP15,Solar,0.0,DAM
2017-10-17,24,SP15,Solar,0.0,DAM
2017-10-18,1,SP15,Solar,0.0,DAM
2017-10-18,2,SP15,Solar,0.0,DAM
2017-10-18,3,SP15,Solar,0.0,DAM
2017-10-18,4,SP15,Solar,0.0,DAM
2017-10-18,5,SP15,Solar,0.0,DAM
2017-10-18,6,SP15,Solar,0.0,DAM
2017-10-18,7,SP15,Solar,3.35,DAM
2017-10-18,8,SP15,Solar,692.82,DAM
2017-10-18,9,SP15,Solar,3136.21,DAM
2017-10-18,10,SP15,Solar,4806.91,DAM
2017-10-18,11,SP15,Solar,5392.02,DAM
2017-10-18,12,SP15,Solar,5625.67,DAM
2017-10-18,13,SP15,Solar,5708.81,DAM
2017-10-18,14,SP15,Solar,5745.57,DAM
2017-10-18,15,SP15,Solar,5663.8,DAM
2017-10-18,16,SP15,Solar,5245.71,DAM
2017-10-18,17,SP15,Solar,3934.63,DAM
2017-10-18,18,SP15,Solar,1063.71,DAM
2017-10-18,19,SP15,Solar,35.43,DAM
2017-10-18,20,SP15,Solar,0.0,DAM
2017-10-18,21,SP15,Solar,0.0,DAM
2017-10-18,22,SP15,Solar,0.0,DAM
2017-10-18,23,SP15,Solar,0.0,DAM
2017-10-18,24,SP15,Solar,0.0,DAM
2017-10-19,1,SP15,Solar,0.0,DAM
2017-10-19,2,SP15,Solar,0.0,DAM
2017-10-19,3,SP15,Solar,0.0,DAM
2017-10-19,4,SP15,Solar,0.0,DAM
2017-10-19,5,SP15,Solar,0.0,DAM
2017-10-19,6,SP15,Solar,0.0,DAM
2017-10-19,7,SP15,Solar,2.79,DAM
2017-10-19,8,SP15,Solar,797.58,DAM
2017-10-19,9,SP15,Solar,3585.85,DAM
2017-10-19,10,SP15,Solar,5428.88,DAM
2017-10-19,11,SP15,Solar,6097.67,DAM
2017-10-19,12,SP15,Solar,6174.8,DAM
2017-10-19,13,SP15,Solar,6119.7,DAM
2017-10-19,14,SP15,Solar,6067.79,DAM
2017-10-19,15,SP15,Solar,5968.67,DAM
2017-10-19,16,SP15,Solar,5474.79,DAM
2017-10-19,17,SP15,Solar,4091.2,DAM
