,LI_chr,LI_dis,LI_soc,LI_previous
688,0,0,200,0
689,0,50,200,0
690,0,50,150,1
691,0,50,100,1
692,0,50,50,1
693,0,0,0,1
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,50,0,0,0
698,50,0,42.5,-1
699,50,0,85,-1
700,50,0,127.5,-1
701,0,20,170,-1
702,0,50,150,0.4
703,0,50,100,1
704,0,50,50,1
705,0,0,0,1
706,50,0,0,0
707,50,0,42.5,-1
708,50,0,85,-1
709,50,0,127.5,-1
710,35.29411765,0,170,-1
711,0,0,200,-0.705882353
712,0,0,200,0
713,0,50,200,0
714,0,50,150,1
715,0,50,100,1
716,0,50,50,1
717,0,0,0,1
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,50,0,0,0
722,50,0,42.5,-1
723,50,0,85,-1
724,50,0,127.5,-1
725,0,0,170,-1
726,0,50,170,0
727,0,50,120,1
728,0,50,70,1
729,0,0,20,1
730,50,0,20,0
731,50,0,62.5,-1
732,50,0,105,-1
733,50,0,147.5,-1
734,11.76470588,0,190,-1
735,0,0,200,-0.235294118
736,0,0,200,0
737,0,50,200,0
738,0,50,150,1
739,0,50,100,1
740,0,50,50,1
741,0,0,0,1
742,0,0,0,0
743,0,0,0,0
744,0,0,0,0
745,26.47058824,0,0,0
746,50,0,22.5,-0.529411765
747,50,0,65,-1
748,50,0,107.5,-1
749,0,0,150,-1
750,0,50,150,0
751,0,50,100,1
752,0,50,50,1
753,0,0,0,1
754,35.29411765,0,0,0
755,50,0,30,-0.705882353
756,50,0,72.5,-1
757,50,0,115,-1
758,50,0,157.5,-1
759,0,0,200,-1
760,0,0,200,0
761,0,50,200,0
762,0,50,150,1
763,0,50,100,1
764,0,50,50,1
765,0,0,0,1
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,26.47058824,0,0,0
770,50,0,22.5,-0.529411765
771,50,0,65,-1
772,50,0,107.5,-1
773,0,0,150,-1
774,0,50,150,0
775,0,50,100,1
776,0,50,50,1
777,0,0,0,1
778,0,0,0,0
779,50,0,0,0
780,50,0,42.5,-1
781,50,0,85,-1
782,50,0,127.5,-1
783,35.29411765,0,170,-1
784,0,0,200,-0.705882353
785,0,50,200,0
786,0,50,150,1
787,0,50,100,1
788,0,50,50,1
789,0,0,0,1
790,0,0,0,0
791,0,0,0,0
792,0,0,0,0
793,26.47058824,0,0,0
794,50,0,22.5,-0.529411765
795,50,0,65,-1
796,50,0,107.5,-1
797,0,0,150,-1
798,0,50,150,0
799,0,50,100,1
800,0,50,50,1
801,0,0,0,1
802,0,0,0,0
803,35.29411765,0,0,0
804,50,0,30,-0.705882353
805,50,0,72.5,-1
806,50,0,115,-1
807,50,0,157.5,-1
808,0,0,200,-1
809,0,50,200,0
810,0,50,150,1
811,0,50,100,1
812,0,50,50,1
813,0,0,0,1
814,0,0,0,0
815,0,0,0,0
816,0,0,0,0
817,0,0,0,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,0
824,0,0,0,0
825,0,0,0,0
826,0,0,0,0
827,35.29411765,0,0,0
828,50,0,30,-0.705882353
829,50,0,72.5,-1
830,50,0,115,-1
831,50,0,157.5,-1
832,0,0,200,-1
833,0,50,200,0
834,0,50,150,1
835,0,50,100,1
836,0,50,50,1
837,0,0,0,1
838,0,0,0,0
839,0,0,0,0
840,0,0,0,0
