OUTAGE_DATE,Hour,Type,Trading Hub,Outage,Report Date
2017-10-04,11,Hydro,SP15,477.71,2017-10-03
2017-10-04,12,Hydro,SP15,477.71,2017-10-03
2017-10-04,13,Hydro,SP15,477.71,2017-10-03
2017-10-04,14,Hydro,SP15,477.71,2017-10-03
2017-10-04,15,Hydro,SP15,477.71,2017-10-03
2017-10-04,16,Hydro,SP15,477.71,2017-10-03
2017-10-04,17,Hydro,SP15,277.71,2017-10-03
2017-10-04,18,Hydro,SP15,277.71,2017-10-03
2017-10-04,19,Hydro,SP15,477.71,2017-10-03
2017-10-04,20,Hydro,SP15,477.71,2017-10-03
2017-10-04,21,Hydro,SP15,477.71,2017-10-03
2017-10-04,22,Hydro,SP15,477.71,2017-10-03
2017-10-04,23,Hydro,SP15,477.71,2017-10-03
2017-10-04,24,Hydro,SP15,477.71,2017-10-03
2017-10-04,1,Renewable,SP15,230.83,2017-10-03
2017-10-04,2,Renewable,SP15,230.83,2017-10-03
2017-10-04,3,Renewable,SP15,230.83,2017-10-03
2017-10-04,4,Renewable,SP15,230.83,2017-10-03
2017-10-04,5,Renewable,SP15,255.83,2017-10-03
2017-10-04,6,Renewable,SP15,175.83,2017-10-03
2017-10-04,7,Renewable,SP15,181.83,2017-10-03
2017-10-04,8,Renewable,SP15,202.23,2017-10-03
2017-10-04,9,Renewable,SP15,204.23,2017-10-03
2017-10-04,10,Renewable,SP15,204.23,2017-10-03
2017-10-04,11,Renewable,SP15,204.23,2017-10-03
2017-10-04,12,Renewable,SP15,201.23,2017-10-03
2017-10-04,13,Renewable,SP15,201.23,2017-10-03
2017-10-04,14,Renewable,SP15,204.23,2017-10-03
2017-10-04,15,Renewable,SP15,204.23,2017-10-03
2017-10-04,16,Renewable,SP15,193.83,2017-10-03
2017-10-04,17,Renewable,SP15,182.83,2017-10-03
2017-10-04,18,Renewable,SP15,172.83,2017-10-03
2017-10-04,19,Renewable,SP15,252.83,2017-10-03
2017-10-04,20,Renewable,SP15,252.83,2017-10-03
2017-10-04,21,Renewable,SP15,227.83,2017-10-03
2017-10-04,22,Renewable,SP15,227.83,2017-10-03
2017-10-04,23,Renewable,SP15,227.83,2017-10-03
2017-10-04,24,Renewable,SP15,227.83,2017-10-03
2017-10-04,1,Thermal,SP15,1567.28,2017-10-03
2017-10-04,2,Thermal,SP15,2047.29,2017-10-03
2017-10-04,3,Thermal,SP15,2040.96,2017-10-03
2017-10-04,4,Thermal,SP15,2040.08,2017-10-03
2017-10-04,5,Thermal,SP15,2038.47,2017-10-03
2017-10-04,6,Thermal,SP15,1553.91,2017-10-03
2017-10-04,7,Thermal,SP15,1553.29,2017-10-03
2017-10-04,8,Thermal,SP15,1606.37,2017-10-03
2017-10-04,9,Thermal,SP15,1630.71,2017-10-03
2017-10-04,10,Thermal,SP15,1639.1,2017-10-03
2017-10-04,11,Thermal,SP15,1645.34,2017-10-03
2017-10-04,12,Thermal,SP15,1664.38,2017-10-03
2017-10-04,13,Thermal,SP15,1668.33,2017-10-03
2017-10-04,14,Thermal,SP15,1674.72,2017-10-03
2017-10-04,15,Thermal,SP15,1676.44,2017-10-03
2017-10-04,16,Thermal,SP15,1417.44,2017-10-03
2017-10-04,17,Thermal,SP15,1421.3,2017-10-03
2017-10-04,18,Thermal,SP15,1416.66,2017-10-03
2017-10-04,19,Thermal,SP15,1404.47,2017-10-03
2017-10-04,20,Thermal,SP15,1393.14,2017-10-03
2017-10-04,21,Thermal,SP15,1371.02,2017-10-03
2017-10-04,22,Thermal,SP15,1369.84,2017-10-03
2017-10-04,23,Thermal,SP15,1367.7,2017-10-03
2017-10-04,24,Thermal,SP15,1364.75,2017-10-03
2017-10-05,1,Hydro,SP15,477.71,2017-10-04
2017-10-05,2,Hydro,SP15,477.71,2017-10-04
2017-10-05,3,Hydro,SP15,477.71,2017-10-04
2017-10-05,4,Hydro,SP15,477.71,2017-10-04
2017-10-05,5,Hydro,SP15,477.71,2017-10-04
2017-10-05,6,Hydro,SP15,550.51,2017-10-04
2017-10-05,7,Hydro,SP15,550.51,2017-10-04
2017-10-05,8,Hydro,SP15,550.51,2017-10-04
2017-10-05,9,Hydro,SP15,550.51,2017-10-04
2017-10-05,10,Hydro,SP15,550.51,2017-10-04
2017-10-05,11,Hydro,SP15,550.51,2017-10-04
2017-10-05,12,Hydro,SP15,550.51,2017-10-04
2017-10-05,13,Hydro,SP15,550.51,2017-10-04
2017-10-05,14,Hydro,SP15,550.51,2017-10-04
2017-10-05,15,Hydro,SP15,550.51,2017-10-04
2017-10-05,16,Hydro,SP15,550.51,2017-10-04
2017-10-05,17,Hydro,SP15,550.51,2017-10-04
2017-10-05,18,Hydro,SP15,477.71,2017-10-04
2017-10-05,19,Hydro,SP15,477.71,2017-10-04
2017-10-05,20,Hydro,SP15,477.71,2017-10-04
2017-10-05,21,Hydro,SP15,477.71,2017-10-04
2017-10-05,22,Hydro,SP15,477.71,2017-10-04
2017-10-05,23,Hydro,SP15,477.71,2017-10-04
2017-10-05,24,Hydro,SP15,477.71,2017-10-04
2017-10-05,1,Renewable,SP15,236.23,2017-10-04
2017-10-05,2,Renewable,SP15,236.23,2017-10-04
2017-10-05,3,Renewable,SP15,236.23,2017-10-04
2017-10-05,4,Renewable,SP15,236.23,2017-10-04
2017-10-05,5,Renewable,SP15,261.23,2017-10-04
2017-10-05,6,Renewable,SP15,181.23,2017-10-04
2017-10-05,7,Renewable,SP15,162.23,2017-10-04
2017-10-05,8,Renewable,SP15,182.63,2017-10-04
2017-10-05,9,Renewable,SP15,184.63,2017-10-04
2017-10-05,10,Renewable,SP15,163.48,2017-10-04
2017-10-05,11,Renewable,SP15,163.48,2017-10-04
2017-10-05,12,Renewable,SP15,163.48,2017-10-04
2017-10-05,13,Renewable,SP15,163.48,2017-10-04
2017-10-05,14,Renewable,SP15,158.03,2017-10-04
2017-10-05,15,Renewable,SP15,158.03,2017-10-04
2017-10-05,16,Renewable,SP15,147.63,2017-10-04
2017-10-05,17,Renewable,SP15,139.63,2017-10-04
2017-10-05,18,Renewable,SP15,129.63,2017-10-04
2017-10-05,19,Renewable,SP15,209.63,2017-10-04
2017-10-05,20,Renewable,SP15,209.63,2017-10-04
2017-10-05,21,Renewable,SP15,426.13,2017-10-04
2017-10-05,22,Renewable,SP15,426.13,2017-10-04
2017-10-05,23,Renewable,SP15,426.13,2017-10-04
2017-10-05,24,Renewable,SP15,424.13,2017-10-04
2017-10-05,1,Thermal,SP15,1345.12,2017-10-04
2017-10-05,2,Thermal,SP15,1825.05,2017-10-04
2017-10-05,3,Thermal,SP15,1824.65,2017-10-04
2017-10-05,4,Thermal,SP15,1822.71,2017-10-04
2017-10-05,5,Thermal,SP15,1822.0,2017-10-04
2017-10-05,6,Thermal,SP15,1338.38,2017-10-04
2017-10-05,7,Thermal,SP15,1343.79,2017-10-04
2017-10-05,8,Thermal,SP15,1348.99,2017-10-04
2017-10-05,9,Thermal,SP15,1377.63,2017-10-04
2017-10-05,10,Thermal,SP15,1358.15,2017-10-04
2017-10-05,11,Thermal,SP15,1375.51,2017-10-04
2017-10-05,12,Thermal,SP15,1400.48,2017-10-04
2017-10-05,13,Thermal,SP15,1412.55,2017-10-04
2017-10-05,14,Thermal,SP15,1416.63,2017-10-04
2017-10-05,15,Thermal,SP15,1419.46,2017-10-04
2017-10-05,16,Thermal,SP15,1418.18,2017-10-04
2017-10-05,17,Thermal,SP15,1413.41,2017-10-04
2017-10-05,18,Thermal,SP15,1408.69,2017-10-04
2017-10-05,19,Thermal,SP15,1390.34,2017-10-04
2017-10-05,20,Thermal,SP15,1374.93,2017-10-04
2017-10-05,21,Thermal,SP15,1347.73,2017-10-04
2017-10-05,22,Thermal,SP15,1340.49,2017-10-04
2017-10-05,23,Thermal,SP15,1335.27,2017-10-04
2017-10-05,24,Thermal,SP15,1833.22,2017-10-04
2017-10-06,1,Hydro,SP15,320.71,2017-10-05
2017-10-06,2,Hydro,SP15,320.71,2017-10-05
2017-10-06,3,Hydro,SP15,320.71,2017-10-05
2017-10-06,4,Hydro,SP15,320.71,2017-10-05
2017-10-06,5,Hydro,SP15,320.71,2017-10-05
2017-10-06,6,Hydro,SP15,320.71,2017-10-05
2017-10-06,7,Hydro,SP15,320.71,2017-10-05
2017-10-06,8,Hydro,SP15,320.71,2017-10-05
2017-10-06,9,Hydro,SP15,320.71,2017-10-05
2017-10-06,10,Hydro,SP15,320.71,2017-10-05
2017-10-06,11,Hydro,SP15,320.71,2017-10-05
2017-10-06,12,Hydro,SP15,320.71,2017-10-05
2017-10-06,13,Hydro,SP15,320.71,2017-10-05
2017-10-06,14,Hydro,SP15,320.71,2017-10-05
2017-10-06,15,Hydro,SP15,320.71,2017-10-05
2017-10-06,16,Hydro,SP15,320.71,2017-10-05
2017-10-06,17,Hydro,SP15,320.71,2017-10-05
2017-10-06,18,Hydro,SP15,320.71,2017-10-05
2017-10-06,19,Hydro,SP15,320.71,2017-10-05
2017-10-06,20,Hydro,SP15,320.71,2017-10-05
2017-10-06,21,Hydro,SP15,320.71,2017-10-05
2017-10-06,22,Hydro,SP15,320.71,2017-10-05
2017-10-06,23,Hydro,SP15,320.71,2017-10-05
2017-10-06,24,Hydro,SP15,120.71,2017-10-05
2017-10-06,1,Renewable,SP15,505.23,2017-10-05
2017-10-06,2,Renewable,SP15,505.23,2017-10-05
2017-10-06,3,Renewable,SP15,505.23,2017-10-05
2017-10-06,4,Renewable,SP15,505.23,2017-10-05
2017-10-06,5,Renewable,SP15,530.23,2017-10-05
2017-10-06,6,Renewable,SP15,208.73,2017-10-05
2017-10-06,7,Renewable,SP15,189.73,2017-10-05
2017-10-06,8,Renewable,SP15,210.13,2017-10-05
2017-10-06,9,Renewable,SP15,212.13,2017-10-05
2017-10-06,10,Renewable,SP15,212.13,2017-10-05
2017-10-06,11,Renewable,SP15,212.13,2017-10-05
2017-10-06,12,Renewable,SP15,212.13,2017-10-05
2017-10-06,13,Renewable,SP15,202.43,2017-10-05
2017-10-06,14,Renewable,SP15,202.43,2017-10-05
2017-10-06,15,Renewable,SP15,202.43,2017-10-05
2017-10-06,16,Renewable,SP15,192.03,2017-10-05
2017-10-06,17,Renewable,SP15,184.03,2017-10-05
2017-10-06,18,Renewable,SP15,174.03,2017-10-05
2017-10-06,19,Renewable,SP15,214.03,2017-10-05
2017-10-06,20,Renewable,SP15,214.03,2017-10-05
2017-10-06,21,Renewable,SP15,214.03,2017-10-05
2017-10-06,22,Renewable,SP15,214.03,2017-10-05
2017-10-06,23,Renewable,SP15,214.03,2017-10-05
2017-10-06,24,Renewable,SP15,214.03,2017-10-05
2017-10-06,1,Thermal,SP15,1106.16,2017-10-05
2017-10-06,2,Thermal,SP15,1588.1,2017-10-05
2017-10-06,3,Thermal,SP15,1586.68,2017-10-05
2017-10-06,4,Thermal,SP15,1585.73,2017-10-05
2017-10-06,5,Thermal,SP15,1584.03,2017-10-05
2017-10-06,6,Thermal,SP15,1099.4,2017-10-05
2017-10-06,7,Thermal,SP15,596.73,2017-10-05
2017-10-06,8,Thermal,SP15,596.95,2017-10-05
2017-10-06,9,Thermal,SP15,628.43,2017-10-05
2017-10-06,10,Thermal,SP15,646.97,2017-10-05
2017-10-06,11,Thermal,SP15,657.34,2017-10-05
2017-10-06,12,Thermal,SP15,680.48,2017-10-05
2017-10-06,13,Thermal,SP15,690.55,2017-10-05
2017-10-06,14,Thermal,SP15,692.06,2017-10-05
2017-10-06,15,Thermal,SP15,693.91,2017-10-05
2017-10-06,16,Thermal,SP15,694.64,2017-10-05
2017-10-06,17,Thermal,SP15,691.43,2017-10-05
2017-10-06,18,Thermal,SP15,684.7,2017-10-05
2017-10-06,19,Thermal,SP15,680.57,2017-10-05
2017-10-06,20,Thermal,SP15,666.17,2017-10-05
2017-10-06,21,Thermal,SP15,643.96,2017-10-05
2017-10-06,22,Thermal,SP15,846.31,2017-10-05
2017-10-06,23,Thermal,SP15,844.08,2017-10-05
2017-10-06,24,Thermal,SP15,835.06,2017-10-05
2017-10-07,1,Hydro,SP15,296.71,2017-10-06
2017-10-07,2,Hydro,SP15,296.71,2017-10-06
2017-10-07,3,Hydro,SP15,296.71,2017-10-06
2017-10-07,4,Hydro,SP15,296.71,2017-10-06
2017-10-07,5,Hydro,SP15,296.71,2017-10-06
2017-10-07,6,Hydro,SP15,296.71,2017-10-06
2017-10-07,7,Hydro,SP15,296.71,2017-10-06
2017-10-07,8,Hydro,SP15,296.71,2017-10-06
2017-10-07,9,Hydro,SP15,296.71,2017-10-06
2017-10-07,10,Hydro,SP15,296.71,2017-10-06
2017-10-07,11,Hydro,SP15,296.71,2017-10-06
2017-10-07,12,Hydro,SP15,296.71,2017-10-06
2017-10-07,13,Hydro,SP15,296.71,2017-10-06
2017-10-07,14,Hydro,SP15,296.71,2017-10-06
2017-10-07,15,Hydro,SP15,296.71,2017-10-06
2017-10-07,16,Hydro,SP15,296.71,2017-10-06
2017-10-07,17,Hydro,SP15,296.71,2017-10-06
2017-10-07,18,Hydro,SP15,296.71,2017-10-06
2017-10-07,19,Hydro,SP15,296.71,2017-10-06
2017-10-07,20,Hydro,SP15,296.71,2017-10-06
2017-10-07,21,Hydro,SP15,296.71,2017-10-06
2017-10-07,22,Hydro,SP15,296.71,2017-10-06
2017-10-07,23,Hydro,SP15,296.71,2017-10-06
2017-10-07,24,Hydro,SP15,296.71,2017-10-06
2017-10-07,1,Renewable,SP15,262.58,2017-10-06
2017-10-07,2,Renewable,SP15,262.58,2017-10-06
2017-10-07,3,Renewable,SP15,262.58,2017-10-06
2017-10-07,4,Renewable,SP15,262.58,2017-10-06
2017-10-07,5,Renewable,SP15,262.58,2017-10-06
2017-10-07,6,Renewable,SP15,222.58,2017-10-06
2017-10-07,7,Renewable,SP15,222.58,2017-10-06
2017-10-07,8,Renewable,SP15,230.98,2017-10-06
2017-10-07,9,Renewable,SP15,232.98,2017-10-06
2017-10-07,10,Renewable,SP15,232.98,2017-10-06
2017-10-07,11,Renewable,SP15,232.98,2017-10-06
2017-10-07,12,Renewable,SP15,232.98,2017-10-06
2017-10-07,13,Renewable,SP15,232.98,2017-10-06
2017-10-07,14,Renewable,SP15,232.98,2017-10-06
2017-10-07,15,Renewable,SP15,232.98,2017-10-06
2017-10-07,16,Renewable,SP15,199.58,2017-10-06
2017-10-07,17,Renewable,SP15,197.58,2017-10-06
